Paper Name,PDF Link
GEX: Democratizing Dexterity with Fully-Actuated Dexterous Hand and Exoskeleton Glove,http://arxiv.org/pdf/2506.04982v1
"ArtVIP: Articulated Digital Assets of Visual Realism, Modular Interaction, and Physical Fidelity for Robot Learning",http://arxiv.org/pdf/2506.04941v1
RoboRefer: Towards Spatial Referring with Reasoning in Vision-Language Models for Robotics,http://arxiv.org/pdf/2506.04308v1
Object-centric 3D Motion Field for Robot Learning from Human Videos,http://arxiv.org/pdf/2506.04227v1
SLAC: Simulation-Pretrained Latent Action Space for Whole-Body Real-World RL,http://arxiv.org/pdf/2506.04147v1
Robustness-Aware Tool Selection and Manipulation Planning with Learned Energy-Informed Guidance,http://arxiv.org/pdf/2506.03362v1
AURA: Agentic Upskilling via Reinforced Abstractions,http://arxiv.org/pdf/2506.02507v1
Grasp2Grasp: Vision-Based Dexterous Grasp Translation via Schrödinger Bridges,http://arxiv.org/pdf/2506.02489v1
SAVOR: Skill Affordance Learning from Visuo-Haptic Perception for Robot-Assisted Bite Acquisition,http://arxiv.org/pdf/2506.02353v1
Efficient Manipulation-Enhanced Semantic Mapping With Uncertainty-Informed Action Selection,http://arxiv.org/pdf/2506.02286v1
